ItemCertificado,Parcela,MovimentoId,TipoMovimento,EventoId,Identificador
106696260169010401,58,559B0000-4836-0022-54FA-08DBE4B44A1A,Reemissao,559B0000-4836-0022-DA87-08DBE4B44A16,E0050300-4836-0022-958C-08DBE4B3EEF0
106463612168710411,62,559B0000-4836-0022-BC1B-08DBE4B452AB,Baixa,559B0000-4836-0022-08C8-08DBE4B452A7,E0050000-4836-0022-60D8-08DBE4B3FB37
106463612168710411,62,559B0000-4836-0022-BD26-08DBE4B452AB,CancelamentoParcela,559B0000-4836-0022-08C8-08DBE4B452A7,E0050000-4836-0022-60D8-08DBE4B3FB37
106463612168710411,62,559B0000-4836-0022-BD35-08DBE4B452AB,Reemissao,559B0000-4836-0022-08C8-08DBE4B452A7,E0050000-4836-0022-60D8-08DBE4B3FB37
106824385169010401,54,559B0000-4836-0022-6415-08DBE4B457FE,Baixa,559B0000-4836-0022-828E-08DBE4B457FA,6C120000-BD3C-6045-EC4C-08DBE4B400A1
106824385169010401,54,559B0000-4836-0022-651E-08DBE4B457FE,CancelamentoParcela,559B0000-4836-0022-828E-08DBE4B457FA,6C120000-BD3C-6045-EC4C-08DBE4B400A1
106824385169010401,54,559B0000-4836-0022-653C-08DBE4B457FE,Reemissao,559B0000-4836-0022-828E-08DBE4B457FA,6C120000-BD3C-6045-EC4C-08DBE4B400A1
107081314169010401,50,559B0000-4836-0022-CC00-08DBE4B45ADC,Baixa,559B0000-4836-0022-DD78-08DBE4B45AD9,6C120000-BD3C-6045-95EE-08DBE4B402F6
107081314169010401,50,559B0000-4836-0022-CD13-08DBE4B45ADC,CancelamentoParcela,559B0000-4836-0022-DD78-08DBE4B45AD9,6C120000-BD3C-6045-95EE-08DBE4B402F6
107081314169010401,50,559B0000-4836-0022-CD23-08DBE4B45ADC,Reemissao,559B0000-4836-0022-DD78-08DBE4B45AD9,6C120000-BD3C-6045-95EE-08DBE4B402F6
106996759169010401,51,559B0000-4836-0022-EEAE-08DBE4B45C34,Baixa,559B0000-4836-0022-7888-08DBE4B45C32,6C120000-BD3C-6045-FA2D-08DBE4B404F1
106996759169010401,51,559B0000-4836-0022-EFF6-08DBE4B45C34,CancelamentoParcela,559B0000-4836-0022-7888-08DBE4B45C32,6C120000-BD3C-6045-FA2D-08DBE4B404F1
106996759169010401,51,559B0000-4836-0022-F006-08DBE4B45C34,Reemissao,559B0000-4836-0022-7888-08DBE4B45C32,6C120000-BD3C-6045-FA2D-08DBE4B404F1
106974082169010401,52,559B0000-4836-0022-1EA8-08DBE4B4603C,Baixa,559B0000-4836-0022-5BFB-08DBE4B4603A,6C120000-BD3C-6045-CBEF-08DBE4B40AB1
106974082169010401,52,559B0000-4836-0022-2083-08DBE4B4603C,CancelamentoParcela,559B0000-4836-0022-5BFB-08DBE4B4603A,6C120000-BD3C-6045-CBEF-08DBE4B40AB1
106974082169010401,52,559B0000-4836-0022-2094-08DBE4B4603C,Reemissao,559B0000-4836-0022-5BFB-08DBE4B4603A,6C120000-BD3C-6045-CBEF-08DBE4B40AB1
106463758168710411,62,559B0000-4836-0022-F195-08DBE4B46168,Baixa,559B0000-4836-0022-C909-08DBE4B46165,6C120000-BD3C-6045-6A5C-08DBE4B4023C
106463758168710411,62,559B0000-4836-0022-F398-08DBE4B46168,CancelamentoParcela,559B0000-4836-0022-C909-08DBE4B46165,6C120000-BD3C-6045-6A5C-08DBE4B4023C
106463758168710411,62,559B0000-4836-0022-F3A8-08DBE4B46168,Reemissao,559B0000-4836-0022-C909-08DBE4B46165,6C120000-BD3C-6045-6A5C-08DBE4B4023C
106462745168710411,62,559B0000-4836-0022-55D1-08DBE4B4663E,Baixa,559B0000-4836-0022-A6E1-08DBE4B46639,E0050000-4836-0022-7E8C-08DBE4B411CC
106462745168710411,62,559B0000-4836-0022-5793-08DBE4B4663E,CancelamentoParcela,559B0000-4836-0022-A6E1-08DBE4B46639,E0050000-4836-0022-7E8C-08DBE4B411CC
106462745168710411,62,559B0000-4836-0022-57B3-08DBE4B4663E,Reemissao,559B0000-4836-0022-A6E1-08DBE4B46639,E0050000-4836-0022-7E8C-08DBE4B411CC
104804922169010401,90,559B0000-4836-0022-917A-08DBE4AE162B,Baixa,559B0000-4836-0022-1FA3-08DBE4AE1628,E0050000-4836-0022-6609-08DBE4ADAF9E
104804922169010401,90,559B0000-4836-0022-928C-08DBE4AE162B,CancelamentoParcela,559B0000-4836-0022-1FA3-08DBE4AE1628,E0050000-4836-0022-6609-08DBE4ADAF9E
